カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
エレキ,2024-10-18,2024-10-23,EX002516-03,Harness（Battery）,ユニット産業（株）,130,,外観・寸法,ハーネス図面AC102,西村,なみ検査　20個のみ,25,1,本社１階,定規,,
エレキ,2024-10-18,2024-10-23,EX002517-01,Harness（FC-MC）,ユニット産業（株）,130,,外観・寸法,ハーネス図面AC102,西村,なみ検査　20個のみ,30,1,本社１階,定規・ルーペ,,
エレキ,2024-10-18,2024-10-23,EX002522-01,Harness（PCM-FC）,ユニット産業（株）,120,,外観・寸法,ハーネス図面AC102,西村,なみ検査　20個のみ,25,1,本社１階,定規,,
エレキ,2024-10-18,2024-10-23,EX002523-01,Harness（PCM-MC）,ユニット産業（株）,120,,外観・寸法,ハーネス図面AC102,西村,なみ検査　20個のみ,30,1,本社１階,定規,,
エレキ,2024-10-18,2024-10-23,EX002525-01,Harness（PCM-SIG HUB）,ユニット産業（株）,120,,外観・寸法,ハーネス図面AC102,西村,なみ検査　20個のみ,20,1,本社１階,定規・ルーペ,,
エレキ,2024-10-24,2024-10-28,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,120,,外観・寸法,ハーネス図面AC102,西村,なみ検査　20個のみ,30,1,本社１階,定規,ユニット産業はn1で判断、他は外観,
エレキ,2024-10-24,2024-10-29,EX002515-12,液剤ポンプ配線加工,ユニット産業（株）,200,,外観のみ,ハーネス図面AC102,西村,なみ検査　20個のみ,20,1,本社１階,無し,,
エレキ,2024-11-05,2024-11-06,EXA000069-01,USB-CN基板 Assy,キョウデンプレシジョン,100,,外観のみ,無し,西村,抜き取り５,30,1,本社１階,ノギス,板厚1.71～1.73㎜,
エレキ,2024-11-05,2024-11-06,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,,外観のみ,無し,西村,抜き取り５,25,1,本社１階,無し,n-1を若原さんに確認,
エレキ,2024-11-05,2024-11-06,EX000864-31,フロートセンサーAssy,ユニット産業（株）,250,,外観,ハーネス図面AC102,西村,基準書無しなので5個,25,1,本社１階,テスター,UPでON,
エレキ,2024-11-05,2024-11-14,EX002520-02,Harness(FC-外部LED),ユニット産業（株）,150,,外観,ハーネス図面AC102,西村,基準書無しなので5個,20,1,本社１階,無し,205,
エレキ,2024-11-05,2024-11-14,EX002655-01,Harness(Relay Remote ID),ユニット産業（株）,120,,外観,ハーネス図面AC102,西村,基準書無しなので5個,20,1,本社１階,無し,,
エレキ,2024-11-05,2024-11-14,EX002857-01,Harness(FC-GPSヘリカル/PCM),ユニット産業（株）,266,,外観,ハーネス図面AC102,西村,基準書無しなので5個,20,1,本社１階,無し,,
エレキ,2024-11-11,2024-11-19,EX002575-03,Harness(FC-外部USB),ユニット産業（株）,120,,外観・極性,ハーネス図面AC102,西村,基準書無しなので5個,20,1,本社１階,テスター,324,
エレキ,2024-11-11,2024-11-19,EX002526-11,ブザー　ASH003(加工後),ユニット産業（株）,120,,外観のみ,ハーネス図面AC102,西村,外観全数,15,1,本社１階,無し,加工品の検査方法はどうするか。現状は外観のみ,
エレキ,2024-11-18,2024-11-18,EXA000068-01,SIG Hub基板Assy（SIG HUBジッソウヒン）,キョウデンプレシジョン,102,,?,?,武田,?,,,,,,
エレキ,2024-11-20,2024-11-25,EX000814,3灯式LED基板 赤色,理研電具,160,,外観のみ,無し,,,,,,,,
エレキ,2024-11-20,2024-11-25,EX000815,3灯式LED基板 緑色,理研電具,160,,外観のみ,無し,,,,,,,,
エレキ,2024-11-26,2024-11-28,EX002856-01,Harness(衝突防止中継/FC/PCM),ユニット産業（株）,260,,外観・極性,ハーネス図面AC102,西村,N-1,15,1,本社１階,テスター,,
エレキ,2024-11-26,2024-11-29,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,78,,外観・動作,ヨシカワ検査表,西村・吉田,N-1,15,2,本社１階,安定化電源、ケーブル,1分作動後電圧、回転数、異音検査基準書無し,
エレキ,2024-12-02,2024-12-02,EX002631-11,シャッターサーボ（コネクタ加工後）,双葉電子/ユニット産業,180,,外観・動作,ハーネス図面_AC102_粒剤用,西村,N-1,25,1,本社１階,サーボテスタ,基準書無し、ハーネス図面,
エレキ,2024-12-04,2024-12-09,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,20,,外観・動作,武田さん資料,西村,N-5,25,1,本社１階,USBケーブル,,
エレキ,2024-12-04,2024-12-09,EXA000020-22,MC Assy,十和田オーディオ,20,,外観・動作,武田さん資料,西村,N-5,25,1,本社１階,USBケーブル,,
エレキ,2024-12-09,2024-12-12,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,,外観のみ,無し,西村,N-1,50,1,本社１階,無し,n-1を若原さんにかくにんとして良品としました,
エレキ,2024-12-10,2024-12-13,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100/400,,外観・キャリブレーション,無し,西村・加藤,全数,240,2,２階フリースペース,安定化電源・専用治具,２名で作業,
エレキ,2024-12-10,2024-12-13,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,100/400,,外観・キャリブレーション,無し,西村・加藤,全数,240,2,２階フリースペース,安定化電源・専用治具,２名で作業,
エレキ,2024-12-11,2024-12-19,EX002896-01,２４GHzObstacle AvoidanceRadars（CANver),AGR,30,,外観,無し,西村,員数確認時の不具合数,15,1,本社１階,無し,天面の小傷はとりあえずOK、底面のシリコン付着は除去,
エレキ,2024-12-17,2024-12-20,EXA000067-01,PCM Assy,キョウデンプレシジョン,97,,外観　通電,治具資料あり,若原・加藤,全数,1440,1,２階D、フリー,治具あり,データマトリクス貼り直し（３名４ｈ）,
エレキ,2024-12-20,2024-12-23,EXA000068-01,SIG Hub基板Assy（SIG HUBジッソウヒン）,キョウデンプレシジョン,102,,外観,仕様書,西村,抜き取り５個,40,1,本1階,ルーペ。ライト,,
エレキ,2024-12-20,2024-12-23,EXA000069-01,USB-CN基板Assy,キョウデンプレシジョン,100,,外観,仕様書,西村,抜き取り５個,15,1,本社１階,ルーペ。ライト,,
エレキ,2024-12-19,2024-12-24,EX000929-13,ギアBOX planetary box 3-3,(有)ヨシカワ,78,,外観・動作,ヨシカワ検査表,西村,2個/1箱,120,1,本社１階,安定化電具・ギアBOX配線,1分作動後電圧、回転数、異音検査基準書無し,
エレキ,2025-01-07,2025-01-07,EXA000068-01,SIG Hub基板Assy,キョウデンプレシジョン,96,,外観,SIG Hub基板納品仕様書,西村,n-20,30,1,本社１階,オペ手、ルーペ,１か所手ハンダの為、フラックス跡が汚い。,
エレキ,2025-01-07,2025-01-07,EXA000069-01,USB-CN基板Assy,キョウデンプレシジョン,100,,外観,USB CN基板実装仕様書,西村,n-5,10,1,本社１階,オペ手、ルーペ,USB端子の高さは均一。仕様書に無い大事な部分については検査基準として記載すべきか。,
エレキ,2025-01-10,2025-01-14,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,,外観,治具資料,西村,n-5外観,15,1,本社１階,オペ手、ルーペ,N-1通電（エレキ担当）外観、梱包状態はn-5,
エレキ,2025-01-10,2025-01-14,EXA000067-01,PCM基板Assy,キョウデンプレシジョン,100,,外観,治具資料,西村,n-5外観,15,1,本社１階,オペ手、ルーペ,N-1通電（エレキ担当）外観、梱包状態はn-5,
エレキ,2025-01-17,2025-01-20,EXA000067-01,PCM基板Assy,キョウデンプレシジョン,100,,外観,治具資料,西村,n-5外観,15,1,本社１階,オペ手、ルーペ,N-1通電（エレキ担当）外観、梱包状態はn-5,
エレキ,2025-01-17,2025-01-20,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,,外観,治具資料,西村,n-5外観,15,1,本社１階,オペ手、ルーペ,N-1通電（エレキ担当）外観、梱包状態はn-5,
エレキ,2025-01-20,2025-01-24,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,,外観,仕様書,西村,外観全数,35,1,本社１階,無し,こちらはAssy化した上で代理店に発送,
エレキ,2025-01-16,2025-01-27,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,,外観・キャリブレーション,無し,西村,外観全数,60,1,本社地下,無し,アーム取り付け用皿ネジ２本全て装着済,
エレキ,2025-01-16,2025-01-27,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,100,,外観・キャリブレーション,無し,西村,外観全数,60,1,本社地下,無し,アーム取り付け用皿ネジ２本全て装着済,
エレキ,2025-01-24,2025-01-28,EXA000020-22,MC Assy,十和田オーディオ,50,,外観のみ,無し武田さんより口頭指示,西村,外観全数,50,1,本社１階,無し,ケースと端子ハウジングの合いノ状態,
エレキ,2025-01-27,2025-01-30,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,,外観のみ,無し,角田,外観全数,120,1,本社地下,無し,キズ、皿ネジあるか。この後キャリブレーション４ｈ,
エレキ,2025-01-27,2025-01-30,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,100,,外観のみ,無し,角田,外観全数,120,1,本社地下,無し,キズ、皿ネジあるか。この後キャリブレーション４ｈ,
エレキ,2025-01-27,2025-01-28,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,50,,外観のみ,完成品の資料は無し,西村,外観全数,15,1,本社１階,無し,外観のケースとコネクタのズレが無いかSD入っているか,
エレキ,2025-01-27,2025-01-28,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,200,,外観のみ,無し,西村,外観全数,80,1,本社１階,無し,ハンダ状態、カバーのキズ（少しあり不問）,
エレキ,2025-01-30,2025-02-03,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,74,,外観通電,ヨシカワ検査表,西村,外観全数通電１３,80,1,本社1階,安定化、治具ケーブル,外観取り付け穴の不具合有無。通電は回転数と電流値,
エレキ,2025-01-30,2025-01-31,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,50,,外観,検査資料は無し、,西村,外観全数,20,1,本社1階,無し,実装品のコネクタとケースの位置が合っているか、マイクロSDが入っているかを全数確認,
エレキ,2025-01-30,2025-01-31,EXA000020-22,MC Assy,十和田オーディオ,50,,外観,検査資料は無し、,西村,外観全数,15,1,本社1階,無し,マイクロSDが収まっているか,
エレキ,2025-02-18,2025-02-19,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,100,,外観,実装の仕様書のみ,西村,外観全数,40,1,本社1階,無し,実装品のコネクタとケースの位置が合っているか、マイクロSDが入っているかを全数確認,
エレキ,2025-02-18,2025-02-20,EXA000020-22,MC Assy,十和田オーディオ,100,,外観,実装の仕様書のみ,西村,外観全数,35,1,本社1階,無し,SDカードとアンテナが取り付けられているか,
エレキ,2025-02-25,2025-02-26,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,85,,外観,実装の仕様書のみ,西村,外観全数,50,,本社1階,無し,ケースが閉じ切れていないもの3点、鈴鹿さんによって修正,
エレキ,2025-02-25,2025-02-26,EXA000020-22,MC Assy,十和田オーディオ,83,,外観,実装の仕様書のみ,西村,外観全数,30,,本社1階,無し,良,
エレキ,2025-03-17,2025-03-17,EX002631-11,シャッターサーボ（コネクタ加工後）,双葉電子/ユニット産業,50,,外観,無し,西村　西浦,外観全数,50,2,本社1階,無し,加工後の入荷でもサーボの耳の部分の割れ欠けヒビの確認（過去に破損があった）,
エレキ,2025-04-09,2025-04-15,EX002593-02,粒剤基板はんだ付け用ケーブル,ユニット産業（株）,130,,外観,無し,西村,外観全数,5,1,本社1階,無し,,
エレキ,2025-04-09,2025-04-15,EX002573-03,粒剤制御板ケーブルカバー付き,ユニット産業（株）,130,,外観,無し,西村,外観全数,5,1,本社1階,無し,,
エレキ,2025-04-10,2025-04-23,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,,外観,無し,長屋、西浦、掛川西村,外観全数,90,4,2階FS,無し,外観のみキャリブレーション未実施,
エレキ,2025-04-10,2025-04-23,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,100,,外観,無し,長屋、西浦、掛川西村,外観全数,90,4,2階FS,無し,外観のみキャリブレーション未実施,
エレキ,2025-04-18,2025-04-21,EX002593-02,粒剤基板はんだ付け用ケーブル,ユニット産業（株）,100,,外観,無し,西村,外観全数,5,1,本社1階,無し,,
エレキ,2025-04-24,2025-04-30,EX002516-03,Harness（Battery）,ユニット産業（株）,130,,外観,無し,西浦・西村,外観全数,15,2,本社1階,無し,Amassコネクタに疑義ありのため中断,
エレキ,2025-05-09,2025-05-16,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,,外観と抜き取りでハンダの状態,,西村,外観全数,45,,本社1階,,実装面の端子台のハンダ量は適正？,
エレキ,2025-05-09,,EXA000068-01,SIG Hub基板Assy,キョウデンプレシジョン,102,,,,武田,,,,,,,
エレキ,2025-05-09,,EXA000069-01,USB-CN基板 Assy,キョウデンプレシジョン,100,,,,武田,,,,,,,
エレキ,2025-05-09,2025-05-19,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,72,,外観FWを6.1に。,,西村,外観全数,140,1,本社1階,,FW6.1に,
エレキ,2025-05-13,2025-05-20,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,,外観FWを6.1に。,,西村,外観全数,180,1,本社1階,,FW6.1に,
エレキ,2025-05-20,2025-05-20,EX000929-13,ギアBOX planetary box 3-3,(有)ヨシカワ,24,,外観・動作,ヨシカワ検査表,西村　西浦,n-8,30,1,本社1階,安定化電源ハーネスタコメーター,モーターを回して少し経つと必ず電流値が下がる,
エレキ,2025-05-27,2025-05-27,EX002857-01,Harness(FC-GPSヘリカル/PCM),ユニット産業（株）,100,,外観寸法,ハーネス図面_AC102,西村,n-10,25,1,本社1階,定規・ルーペ,作業区分別チェックリスト,
エレキ,2025-06-06,,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,,,,,,,,1,本社1階,,,
エレキ,2025-06-06,,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,,,,,,,,1,本社1階,,,
エレキ,2025-07-02,2025-07-11,EXA000067-01,PCM基板Assy,明光電子㈱,100,,外観抜き取り,治具資料,西村　若原,通電n－１,45,2,本社1階,,通電１、外観全数、その他実装検査成績書RKQ10-01-03-(03)をもって合格とする,
エレキ,2025-07-09,,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,200,,,,,,,,,,,
エレキ,2025-07-09,,EXA000020-22,MC Assy,十和田オーディオ,136,,,,,,,,,,,
エレキ,2025-07-22,2025-07-28,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,0,外観コネクタ,無し,西村,外観全数,120,1,本社1階,,,
エレキ,2025-07-22,2025-07-28,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,100,0,外観コネクタ,無し,西村,外観全数,120,1,本社1階,,,
エレキ,2025-07-25,2025-08-07,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,40,0,外観全数・抜き取り7個,無し,西村,外観全数,60,1,本社1階,安定化、治具ケーブル,1分空運転、電流値計測、回転数計測,
エレキ,2025-08-08,2025-08-19,EXA000068-01,SIG Hub基板Assy,キョウデンプレシジョン,102,0,,,武田,,,,,,梱包形態が今回はエアパッキン,
エレキ,2025-08-08,2025-08-19,EXA000069-01,USB-CN基板 Assy,キョウデンプレシジョン,100,0,,,武田,,,,,,,
エレキ,2025-08-08,2025-08-26,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,0,外観・抜き取りはハンダ確認,,西村,,,,,,,
エレキ,2025-08-26,,EXA000067-01,PCM基板Assy,明光電子㈱,100,,,,若原,,,,,,,
エレキ,2025-08-29,2025-09-05,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,,外観確認,無し,西村,外観全数,30,1,本社1階,,金森製カバー天面にキズ（部材の時は無かった）部材、サブAssy、Assyと3回の検査、もある。,
エレキ,,,EX001967,外部LED基板（コンディションLED）,アサヒ電子,240,,員数確認のみ,無し,西村,外観全数,,,本社1階,,,
エレキ,2025-09-17,2025-09-25,EX002519-01,TF mini Plus レンジファインダー(加工後),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,旧FCからの流用、過去不具合なし、員数確認のみで問題ないと考えます。,
エレキ,2025-09-17,,EX002520-02,Harness(FC-外部LED),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-17,,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-17,,EX002522-01,Harness(PCM-FC),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-17,2025-09-25,EX002526-11,ブザー　ASH003(加工後),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-17,,EX000864-31,フロートセンサーAssy,ユニット産業（株）,120,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-17,,EX002515-12,液剤ポンプ配線加工,ユニット産業（株）,150,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002517-01,Harness(FC-MC),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-25,EX002857-01,Harness(FC-GPSヘリカル/PCM),ユニット産業（株）,100,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002523-01,Harness(PCM-MC),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002525-01,Harness(PCM-SIG HUB),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002575-03,Harness(FC-外部USB),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002655-01,Harness(Relay Remote ID),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-25,X002519-01,TF mini Plus レンジファインダー(加工後),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-25,EX002520-02,Harness(FC-外部LED),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-22,EX002522-01,Harness(PCM-FC),ユニット産業（株）,200,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,2025-09-25,EX002526-11,ブザー　ASH003(加工後),ユニット産業（株）,200,,配線長外観,無し,西村,外観全数,30,,本社1階,,,
エレキ,2025-09-19,,EX000864-31,フロートセンサーAssy,ユニット産業（株）,120,,配線長外観,無し,西村,外観全数,20,,本社1階,,,
エレキ,2025-09-19,,EX002515-12,液剤ポンプ配線加工,,,,配線長外観,無し,西村,外観全数,20,,本社1階,,,
エレキ,2025-09-19,2025-09-26,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,,コネクタ周り,無し,西村、長野佳,外観全数,120,,本社1階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
エレキ,2025-09-19,2025-09-26,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,100,,コネクタ周り,無し,西村、長野佳,外観全数,120,,本社1階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
エレキ,2025-09-29,2025-09-30,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,36,,無負荷運転回転数,無し,西村,外観全数,40,1,３階,安定化電源、j回転計,,
エレキ,2025-10-14,2025-10-16,EX002521-01,Harness(FC-SIG HUB),ユニット産業,100,,配線長外観,無し,西村,外観全数,20,1,３階,,,
エレキ,2025-10-14,2025-10-16,EX000864-31,フロートセンサーAssy,ユニット産業,99,,配線長外観,無し,西村,外観全数,20,1,３階,,,
エレキ,2025-10-14,2025-10-16,EX002515-12,液剤ポンプ配線加工,ユニット産業,50,,配線長外観,無し,西村,外観全数,20,1,３階,,,
エレキ,,2025-10-27,EX002518-01,GPS　Module（加工後）,ユニット産業（株）,20,,外観,ハーネス図面,西村,外観　配線長,15,,１階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
エレキ,,,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,300,0,外観、ハーネス,ハーネス図面,杉山,外観、配線断線,,,地下１階,,,
エレキ,2025-10-23,2026-12-24,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,250,0,外観、ハーネス,ハーネス図面,杉山（残数検査),外観、配線断線,,,地下１階,,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する,
エレキ,2025-10-23,2026-12-24,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,250,0,外観、ハーネス,ハーネス図面,杉山（残数検査),外観、配線断線,,,地下１階,,,
エレキ,,2025-11-10,EX002631-11,シャッターサーボ(コネクター加工後),ユニット産業株式会社,100,0,外観、ハーネス,ハーネス図面,西村、長野佳,外観全数、配線抜き取り,25,1,本社1階,スケール,入庫時の荷姿は本体のみとする（ネジも除外する）,
エレキ,2025-11-27,2025-11-27,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,48,0,外観のみ,,西村、長野佳,外観のみ,10,1,本社1階,,今回より、検査表は必ず作業報告書に添付する事の上、員数確認と梱包状態の確認のみとします。,
エレキ,2025-12-02,2025-12-08,EX002537-01,サーボ AC20-05H-A01,双葉電子工業株式会社,100,0,外観、員数,2025品質基準書（購入部品）　,杉山,外観全数,60,,,,(本件は、N25-01388発注分です。）開梱し、中身の有無確認が有るので工数がかかる。,
エレキ,2025-12-02,2025-12-10,EX002537-01,サーボ AC20-05H-A01,双葉電子工業株式会社,100,0,外観、員数,2025品質基準書（購入部品）　,杉山,外観全数,60,,,,(本件は、N25-02034発注分です。）開梱し、中身の有無確認が有るので工数がかかる。,
エレキ,2025-12-02,2025-12-10,EX002537-01,サーボ AC20-05H-A01,双葉電子工業株式会社,100,0,外観、員数,2025品質基準書（購入部品）　,杉山,外観全数,60,,,,(本件は、N25-01388発注分です。）開梱し、中身の有無確認が有るので工数がかかる。,
エレキ,2026-01-08,2026-01-14,EX002525-01,Hamess(FC-SIG-HUB),ユニット産業（株）,30,0,外観、員数,検査成績資料有り,杉山,外観全数,30,,,,,
エレキ,2026-01-08,2026-01-14,EX002520-02,Hamess(FC-外部LED),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002523-01,Hamess(PCM-MC),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002522-01,Hamess(PCM-FC),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002517-01,Hamess(FC-MC),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002525-01,Hamess(PCM-SIG-HUB),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-15,EX002857-01,Hamess(FC-GPSヘリカル/PCM),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-15,EX002575-03,Hamess(FC-外部USB),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-14,2026-01-15,EXA000068-01,SIG Hub基板Assy,明光電子株式会社,198,0,外観、員数,検査成績資料有り,杉山,外観全数,30,1,本社1階,,,
エレキ,2026-01-14,2026-01-15,EXA000071-01,PDB基板Assy,明光電子株式会社,216,0,外観、員数,検査成績資料有り、武田さん確認,杉山,外観全数,30,1,本社1階,,,
エレキ,,2026-01-27,EX002887-01,H-RTK F9P Ultralight,HOLYBRO TECH CO.LTD,250,0,外観、員数,,杉山,外観全数,70,,,,,
エレキ,,2026-02-05,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,250,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,130,,本社1階,,,
エレキ,,2026-02-05,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,250,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,130,,本社1階,,,
エレキ,,2026-02-05,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,300,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,160,,本社1階,,,
エレキ,,2026-02-05,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,300,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,160,,本社1階,,,
エレキ,,2026-02-19,EX003013-01,鳥獣害用コネクタ,ユニット産業（株）,130,0,員数,検査成績資料有り,杉山,(外観)全数,30,,本社1階,,検査成績書付きのため員数のみ。１０個／袋詰め含む,
エレキ,2026-02-20,2026-02-20,ZA000034,AC101-P13用ギアBOX,ヨシカワ,42,0,員数,員数のみの指示,杉山,,30,,本社1階,,検査成績書付き,
エレキ,2026-02-27,2026-02-27,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,330,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,,2026-02-03,,バッテリ　LOG抜き取り,,80,,Log抜き取り,石川さん手順書による,杉山,抜き取り台数分,600,,本社地下１階,USB外付けCAN　I/F,Log提出のみ,
エレキ,,2025-12-24,,チャージャ,,80,,動作確認,石川さん手順書による,杉山,80,1000,,本社地下１階,検査用バッテリ、放電気,OK、チャージャ箱出し：１０分／５台、検査：１０分／台、放電：３０分,
エレキ,,2025-12-15,,バッテリ　LOG抜き取り,,24,,Log抜き取り,石川さん手順書による,杉山,24,210,,本社地下１階,USB外付けCAN　I/F,Log提出のみ,
エレキ,,2026-02-25,,プロポ検査,,60,12,外装／電装品動作チェック／シール貼り,小笠原さん指導、手順書,杉山,60(既に入荷済分の検査）,６個／８０分,,本社地下１階,,アンテナ不具合１個、外装部打痕（個人主観）：12個くらい,
