AC102受け入れ検査実施リスト（メカ類）,,,,,,,,,,,,,,,,,,
※SCMより渡される検査票と下記品質基準書を用意し作業をする。,,,,,,,,,,,,,,,,,,
2024品質基準書（AC102）A25-3000-0,,,,2024品質基準書(P13)P13-3000-0,,,,,,,,,,,,,,
受け入れ検査数量は基本は外観全数、別途指示がある場合はその数量とする。,,,,,,,,,,,,,,,,,,
入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所,
45538,45544,,EX000904,保護パッド,（株）五輪パッキング,120,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX000918,隙間テープ,（株）五輪パッキング,350,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX002544-01,FPV 防滴シート,（株）五輪パッキング,70,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX002565-01,コネクタスポンジ,（株）五輪パッキング,130,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45538,45544,,EX002789-01,Cushion,（株）五輪パッキング,110,,外観,検査基準書 適用型式AC102,西村,20なみ検,5,,本社１階,無し,良,,
45554,45559,,EX000794,Battery mount LH,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000795,Battery mount RH,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000749,スライドポスト,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000768,LED cover,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,,
45554,45559,,EX000779,Ball valve mount,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,,
45554,45559,,EX000647,タンクキャップ(AC101),金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,西村,全数,30,,本社１階,無し,良　ピン跡に黒ずみ（不問）,,
45554,45559,,EX000747,Slide Rail,金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45554,45559,,EX000837,タンクキャップ(穴追加工),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,全数,30,,本社１階,無し,良　ピン跡に黒ずみ（不問）,,
45555,45560,,EX000649,キャップ用パッキン,（株）テクノアソシエ,100,,外観,検査基準書 適用型式AC102,西村,全数,15,,本社１階,無し,良,,
45555,45560,,EX000769,LED cover seal,（株）テクノアソシエ,100,,外観,検査基準書 適用型式AC102,西村,全数,10,,本社１階,無し,良,,
45555,45560,,EX000812,コンディションLED両面テープ,（株）テクノアソシエ,180,,外観,検査基準書 適用型式AC102,西村,全数,5,,本社１階,無し,良,,
45560,45568,,EX000825,Nozzle mount,金森産業（株）,250,,外観,検査基準書 適用型式AC102,西村,全数,25,,本社１階,無し,良,,
45560,45568,,EX002846-01,ジョイントホルダ,金森産業（株）,300,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良　バリとパッキン面が同じ所にある,,
45560,45569,,EX002040-02,吐出口キャップ,金森産業（株）,300,,外観,検査基準書 適用型式AC102,西村,全数,20,,本社１階,無し,良,,
45560,45568,,EX000933-02,シャッターギア s2s-40A-2,金森産業（株）,200,,外観,検査基準書 適用型式AC101P13,西村,全数,30,,本社１階,無し,良　押し出しに黒済み　(不問),,
45560,45569,,EX000930,ハウジング unit housing 3-3(2),金森産業（株）,200,,外観,検査基準書 適用型式AC101P13,西村,全数,70,,本社１階,無し,良　インサート周辺にマステの断片あり(除去),,
45560,45569,,EX000934-02,吐出口　discharge port 1-3(1),金森産業（株）,110,1,外観,検査基準書 適用型式AC101P13,西村,全数,45,,本社１階,無し,１不良　インサート逆入れあり、代品入庫済,,
45560,45569,,EX000939,インペラ 1(1),金森産業（株）,150,,外観,検査基準書 適用型式AC101P13,西村,全数,25,,本社１階,無し,良,,
45560,45568,,EX000940,可動板 induction plate 7-2,金森産業（株）,320,,外観,検査基準書 適用型式AC101P13,西村,全数,35,,本社１階,M4ネジ,良　インサートに被りあり(除去),,
45560,45568,,EX000931,駆動ギアホーン s2s 40A-1-2,金森産業（株）,200,,外観,検査基準書 適用型式AC101P13,西村,全数,20,,本社１階,無し,良　切りくずあり(除去),,
45569,45569,,EX000937-03,撹拌棒/mixing arm,金森産業（株）,390,,外観,検査基準書 適用型式AC101P13,西村,全数,15,,本社１階,無し,良,,
45572,45575,,EX000750,Slide mount,（株）栗原精機,400,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,25,,本社１階,ノギス,良アルマイト品、内周なので計測注意,,
45572,45574,,EX000777,boom mount,（株）栗原精機,200,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,20,,本社１階,M3ネジ,良ネジ穴キツめの所あり深さ8ミリ以上,,
45572,45574,,EX000796,center beam,（株）栗原精機,220,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,25,,本社１階,ノギス/M3ネジ,良,,
45572,45575,,EX000803,TF mini plus holder,（株）栗原精機,130,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,15,,本社１階,M3ネジ,良,,
45572,45575,,EX000817,フランジカラー φ8.5 φ3.1　,（株）栗原精機,1400,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検80,45,,本社１階,ノギス,良外径6.23～6.26のため基準書確認,,
45573,45576,,EX000747,Slide Rail,金森産業（株）,100,,外観,検査基準書 適用型式AC102,角田,外観全数,60,,本社１階,無し,良１点保留（レール面キズ、バリ処理のえぐれ）,,
45573,45576,,EX000749,スライドポスト,金森産業（株）,1200,,外観,検査基準書 適用型式AC102,角田,外観全数,50,,本社１階,無し,良,,
45573,45576,,EX000768,LED cover,金森産業（株）,300,,外観,検査基準書 適用型式AC102,角田,外観全数,60,,本社１階,無し,良,,
45573,45576,,EX000779,Ball valve mount　,金森産業（株）,200,,外観,検査基準書 適用型式AC102,角田,外観全数,60,,本社１階,無し,良,,
45573,45576,,EX000647,タンクキャップ(AC101)　,金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,角田,外観全数,40,,本社１階,無し,良,,
45573,45576,,EX000837,タンクキャップ(穴追加工)　,金森産業（株）,40,,外観,検査基準書 適用型式AC102,角田,外観全数,20,,本社１階,無し,良,,
45573,45580,,EX002851-01,センサマウントA　100pcs(初回分),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,外観全数,25,,本社１階,無し,良,,
45573,45580,,EX002852-01,センサマウントB　100pcs(初回分),金森産業（株）,100,,外観,検査基準書 適用型式AC102,西村,外観全数,25,,本社１階,無し,良,,
45576,45582,,EX000743-05,Arm fixed holder,北村化学,1200,,外観・寸法,検査基準書 適用型式AC102,西村角田,総検査数量なみ検査20,180,2,地階,ノギス,良,,
45576,45580,,EX002890-01,FCマウントクッション,（株）五輪パッキング,1200,,外観,検査基準書 適用型式AC102,西村,外観全数,10,,本社１階,無し,良,,
45581,45580,,EX000938,unit housing_1_5,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,角田,外観全数,60,,本社１階,無し,良（ネジ穴部の成型不具合は手直し済）,,
45581,45580,,EX000936,motor cover3,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,角田,外観全数,60,,本社１階,無し,良,,
45581,45583,,EX000935,カバー_cover_4(2),金森産業（株）,330,,外観,検査基準書 適用型式AC101P13,西村,外観全数,25,,本社１階,無し,良,,
45589,45594,,EX002842-01,GPS mount (AC102),深沢製作所,280,,外観,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45589,45593,,EX000941-11,誘導板 induction plate 6(1),深沢製作所,350,,外観,検査基準書 適用型式AC101P13,西村,外観全数,25,,本社１階,無し,良,,
45594,45594,,EX000937-03,撹拌棒/mixing arm,,300,,外観,検査基準書 適用型式AC101P13,西村,外観全数,40,,本社１階,無し,良,,
,45596,,EX000895,粒剤タンク 13.5L,FAモールディング,150,,外観,検査基準書 適用型式AC101P13,西村西浦,外観全数,80,2,中宗岡倉庫,使用せず,780ｇまではOＫとしたい。穴確認の為４人６０分穴合わせ作業,,
,45596,,EX000762-04,Liquid　Tank　9L,FAモールディング,50,1,外観,検査基準書 適用型式AC102,西村西浦,外観全数,180,2,中宗岡倉庫,アルミ板フィルター,黒点多し1点、990gは相談,,
45596,45601,,EX002547-11,FC Upper Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45596,45601,,EX002548-12,FC Lower Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45596,45601,,EX002545-11,FC Carrier Upper Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45596,45601,,EX002546-11,FC Carrier Lower Case,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良,,
45600,45604,,EX000973-02,吐出工キャップ用パッキン,（株）五輪パッキング,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,30,,本社１階,ノギス,良　内外径について形状が柔らかい物はどう計測する,,
45610,45610,,EX002561-07,Mecha tray,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村長野将,外観全数寸法なみ検20,60,2,中宗岡倉庫,ノギス,良　ノギスでの寸法計測に難しさがある,,
45610,45610,,EX002878-01,サーボホルダ(AC20),北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,120,,本社１階,ノギス,良　気持ちインサート面に反りがあるように見える,,
45610,45611,,EX002037-16,Arm holder nut,北村化学/サンリード,1200,,外観のみに変更,検査基準書 適用型式AC102,角田,,240,,地階,無し,良　員数確認作業と併行したため時間は長い,,
45608,45614,,EX000807-21,Condition LED base,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,45,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,,
45608,45614,,EX002559-11,コネクタロックA,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,50,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,,
45608,45614,,EX002560-12,コネクタロックB,北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,40,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,,
45614,45615,,EX002847-02,FPV Unit cover (AC102),北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,角田,外観全数寸法なみ検20,60,,本社１階,ノギス,良　ノギスで測ると設計値とずれます,,
45614,45615,,EX002848-02,FPV Holder (AC102),北村化学/サンリード,300,,外観・寸法,検査基準書 適用型式AC102,西村,外観全数寸法なみ検20,40,,本社１階,ノギス,良　ノギスでの計測は設計値と異なる,,
45608,45611,,EX000762-04,Liquid　Tank　9L,FAモールディング,209,13,外観,検査基準書 適用型式AC102,西村西浦,全数,240,2,中宗岡倉庫,平板、フィルター,不良多し、インサート抜け、吐出口削りすぎ,,
45601,45618,,EX001999-31,AC102カウル 前後シール付き 補強あり,緑川化成工業（株）,120,,外観,検査基準書 適用型式AC102,西村西浦,全数,190,2,群馬通商,テーブル、指金,シール位置不良の為再入荷検査,,
45623,45646,,EX002049-02,FA28.2*9.2　L,T-motor,70,,外観,基準書、限度見本別にあり,角田,外観全数,120,,本社１階,ルーペ、見本,良　基準内,,
45623,45616,,EX002050-02,FA28.2*9.2　R　,T-motor,70,,外観,基準書、限度見本別にあり,角田,外観全数,120,,本社１階,ルーペ、見本,キズ等メーカーに確認要,,
45630,45635,,EX002893-01,AC102 取扱説明書,ブレーンテック,300,,落丁乱丁,無し,西村,N-5,20,,本社１階,目視,かすれのため再入荷、良,,
45636,45637,,EX002050-02,FA28.2*9.2　R　,T-motor,100,2,外観,基準書、限度見本別にあり,角田,外観全数,120,,２階,ルーペ、見本,キズ等メーカーに確認要,,
45636,45637,,EX002049-02,FA28.2*9.2　L,T-motor,100,,外観,基準書、限度見本別にあり,角田,外観全数,120,,２階,ルーペ、見本,良　基準内,,
45643,45644,,EX000918,隙間テープ,（株）五輪パッキング,400,,外観,検査基準書 適用型式AC102,西村,20なみ検,20,,本社１階,目視,カット不良、浮き、第四剥がれは無しOK,,
45664,45673,,EX001999-31,AC102 カウル前後シール付き,緑川化成工業（株）,115,4,外観,検査基準書 適用型式AC102,西村・西浦,全数,180,2,群馬通商,指金・定規,シール内にゴミ４枚、後ろのシール右上がり傾向、シール張り直し対応済,,
45674,45677,,EX002050-02,FA28.2*9.2　R　,T-motor,100,,外観,基準書、限度見本別にあり,角田,外観全数,120,1,本社１階,目視,バフキズ、表面模様ムラ、キズ、凹みあり。準体裁面,,
45674,45677,,EX002049-02,FA28.2*9.2　L,T-motor,100,,外観,基準書、限度見本別にあり,角田,外観全数,120,1,本社１階,目視,バフキズ、表面模様ムラ、キズ、凹みあり。準体裁面,,
45684,45686,,EX002050-02,FA28.2*9.2　R　,T-motor,100,1,外観,基準書、限度見本別にあり,角田,外観全数,100,1,本社１階,目視,補修跡目立つ,,
45684,45686,,EX002049-02,FA28.2*9.2　L,T-motor,100,1,外観,基準書、限度見本別にあり,角田,外観全数,100,1,本社１階,目視,補修跡目立つ,,
45694,45694,,EX002772-01,TC-150PEN5-20 カットサイズ20mm×20mm×1.5t (低比重低硬度放熱シリコーンパッド),（株）五輪パッキング,266,,,0,,,,,,,,,
45694,45694,,EX002601-01,FC放熱シート,（株）五輪パッキング,400,,,,,,,,,,,,
45694,,,EX000904,保護パッド,（株）五輪パッキング,130,,,,,,,,,,,,
45694,,,EX000918,隙間テープ,（株）五輪パッキング,400,,,,,,,,,,,,
45694,,,EX002544-01,FPV 防滴シート,（株）五輪パッキング,180,,,,,,,,,,,,
45694,,,EX002565-01,コネクタスポンジ,（株）五輪パッキング,120,,,,,,,,,,,,
45694,,,EX002789-01,Cushion,（株）五輪パッキング,140,,,,,,,,,,,,
45694,,,EX002790-01,TR-5912F　8mm×8mm,（株）五輪パッキング,250,,,,,,,,,,,,
45694,,,EX002799-01,シャッターギアガスケット,（株）五輪パッキング,230,,,,,,,,,,,,
45705,45707,,EX000941-11,誘導板,（株）深沢製作所,110,,外観,検査基準書 適用型式AC101P13,西村,外観全数,15,1,本社1階,目視,バリ、反り、歪み　小傷は工程上やむなしの為不問,,
45714,45719,,EX000747,Slide Rail,金森産業（株）,300,2,外観,検査基準書 適用型式AC102,西村,外観全数,50,1,本社1階,目視,2点レール端面にキズあり、製造中による？,,
45714,45719,,EX000749,スライドポスト,金森産業（株）,620,,外観,検査基準書 適用型式AC102,西村,外観全数,70,1,本社1階,目視,,,
45714,45719,,EX000768,LED cover,金森産業（株）,600,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,,
45714,45719,,EX000779,Ball valve mount,金森産業（株）,200,,外観,検査基準書 適用型式AC102,西村,外観全数,25,1,本社1階,目視,,,
45714,45719,,EX000794,Battery mount LH,金森産業（株）,150,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,,
45714,45719,,EX000795,Battery mount RH,金森産業（株）,150,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,,
45714,45719,,EX000825,	Nozzle mount,金森産業（株）,250,,外観,検査基準書 適用型式AC102,西村,外観全数,25,1,本社1階,目視,インサート有り、注意,,
45714,45719,,EX000837,タンクキャップ(穴追加工),金森産業（株）,110,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,,
45722,45726,,EX000935,カバー_cover_4(2),金森産業（株）,70,,外観,検査基準書 適用型式AC101P13,西村,外観全数,20,1,本社1階,目視,インサート有り、注意　体裁面のキズ注意,,
45727,45729,,EX000935,カバー_cover_4(2),金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,西村　西浦,外観全数,70,1,本社1階,目視,インサート有り、注意　体裁面のキズ注意,,
45729,45729,,EX000937-03,撹拌棒/mixing arm,金森産業（株）,70,,外観,検査基準書 適用型式AC101P13,西村,外観全数,10,1,本社1階,目視,,,
45729,45729,,EX000937-03,撹拌棒/mixing arm,金森産業（株）,230,,外観,検査基準書 適用型式AC101P13,西村,外観全数,20,1,本社1階,目視,,,
45730,45730,,EX000762-04,Liquid　Tank　9L,FAモールディング,120,4,外観,検査基準書 適用型式AC102,西村・西浦,外観全数,180,2,中宗岡倉庫,ライト、ゲージ、ポスト、キャップ,樹脂のバリ、インサートなどチェック。不具合は交換依頼,,
45751,45754,,EX000936,モーターカバー 3,金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,西村,外観全数,,,本社1階,,,,
45751,45754,,EX000938,unit housing 1 5,金森産業（株）,100,,外観,検査基準書 適用型式AC101P13,西村,外観全数,,,本社1階,,,,
45757,45764,,EX000930,ハウジング,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↓,,本社1階,,,,
45757,45764,,EX000934-02_,吐出口,金森産業（株）,220,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↓,,本社1階,,,,
45757,45764,,NX180227-1,タンクキャップ,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↓,,本社1階,,,,
45757,45764,,EX000940,可動板      ,金森産業（株）,240,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,80,,本社1階,,,,
45757,45764,,EX000939,インペラ,金森産業（株）,180,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↑,,本社1階,,,,
45757,45764,,EX000933-02,シャッターギヤ,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↑,,本社1階,,,,
45757,45764,,EX000931,駆動ギヤホーン,金森産業（株）,130,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,↑,,本社1階,,,,
45763,45763,,EX000762-04,Liquid　Tank　9L,FAモールディング,38,,外観,検査基準書 適用型式AC102,西村・西浦,外観全数,120,2,中宗岡倉庫,ライト、ゲージ、ポスト、キャップ、,,,
45763,45777,,EX000895,粒剤タンク 13.5L,FAモールディング,80?,3,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,180,2,中宗岡倉庫,ライト、ゲージ、ポスト、キャップ、,インサート抜け、カットライン不良,,
45757,45771,,EX002050-02,FA28.2*9.2　R　,T-motor,100,,外観,基準書、限度見本別にあり,西村,外観全数,120,1,本社1階,,,,
45757,45771,,EX002049-02,FA28.2*9.2　L,T-motor,100,,外観,基準書、限度見本別にあり,西村,,120,1,本社1階,,,,
45775,45777,,EX002573-03,粒剤制御版ケーブルカバー付き,ユニット産業,100,,外観,無し,西浦・西村,外観全数,30,2,本社1階,,基板取付はまだ,,
45786,45789,,EX002545-11,FC Carrier Upper Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,30,1,本社1階,,ノギスでの計測の誤差あり。,,
45786,45789,,EX002546-11,FC Carrier Lower Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,30,1,本社1階,,ノギスでの計測の誤差あり。,,
45786,45789,,EX002547-11,FC Upper Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,50,1,本社1階,,ノギスでの計測の誤差あり。,,
45786,45789,,EX002548-12,FC Lower Case,北村化学/サンリード,200,,外観寸法,検査基準書 適用型式AC102,西村,外観全数抜き取り２０,50,1,本社1階,,ノギスでの計測の誤差あり。,,
45817,45817,,EX000895,粒剤タンク 13.5L,FAモールディング,103,,外観寸法,検査基準書 適用型式AC102,西浦・石原・西村,全数,180,3,中宗岡倉庫,,FA様と打ち合わせ予定,,粒剤治具でタンクに収まるか確認、プランジャー穴はΦ6.5に拡張、ユニットとの勘合及び整形、基準はプランジャーを押し込まずともタンクに嵌ることことが必須条件。
45814,45820,,EX002050-02,FA28.2*9.2　R　,T-motor,100,2,外観,ポータルのサービス開発購買海外に検査技術要件あり,,,120,1,本社1階,ペーパータオルパーツクリーナー,汚れが多い,非体裁面のキズは体裁面より寛容に,
45814,45821,,EX002049-02,FA28.2*9.2　L,T-motor,100,1,外観,ポータルのサービス開発購買海外に検査技術要件あり,,,120,1,本社1階,ペーパータオルパーツクリーナー,汚れが多い,非体裁面のキズは体裁面より寛容に,
45847,45849,,EX002842-01,GPS mount (AC102),深沢製作所,100,,外観,2024品質基準書,,,35,1,本社1階,,1個づつの個包装,,
45860,45863,,EX002050-02,FA28.2*9.2　R　,T-motor,100,14,外観,基準書、限度見本別にあり,西村、長野、石川,,200,3,本社1階,,汚れ、曇りキズ多し,毎回不具合箇所が異なるため、都度判断依頼となっています,
45860,45863,,EX002049-02,FA28.2*9.2　L,T-motor,100,14,外観,基準書、限度見本別にあり,西村、長野、石川,,200,3,本社1階,,汚れ、曇りキズ多し,毎回不具合箇所が異なるため、都度判断依頼となっています,
45873,45874,,EX000941-11,誘導板 induction plate 6(1),深沢製作所,420,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,90,1,本社1階,,,今回より包装が紙となっている（前回までは袋）,
45875,45881,,EX000779,Ball valve mount,金森産業（株）,400,,外観,検査基準書 適用型式AC102,西村,外観全数,50,1,本社1階,,,,
45875,保留,,EX000837,タンクキャップ(穴追加工),金森産業（株）,200,保留,,,,,,,,,検査不能のため保留,,
45875,45881,,EX002040-02,吐出口キャップ,金森産業（株）,200,,外観,検査基準書 適用型式AC102,西村,外観全数,50,1,本社1階,,樹脂の中に小さい黒点あり（機能部品なので見た目は不問にしたい）,,
45875,45877,,EX002846-01,ジョイントホルダ,金森産業（株）,200,,外観,検査基準書 適用型式AC102,西村,外観全数,30,1,本社1階,,バリの程度が気になる（許容範囲が不明なため、老衰の原因にならないかどうか）,,
45875,45887,,EX000749,スライドポスト,金森産業（株）,1600,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,100,1,本社3階,,,作業中1/520個中1個にネジ穴部にバリあり。過去の検査では不良ト判断しているものは見当たらず,
45875,45881,,EX000933-02,シャッターギア s2s-40A-2,金森産業（株）,110,,外観,検査基準書 適用型式AC101P13,西村,外観全数,40,1,本社1階,,歪みは項目に入れるか？実際は歪み無し,,
45877,45884,,EX002847-02,FPV Unit cover (AC102),北村化学/サンリード,100,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います,
45877,45884,,EX002848-02,FPV Holder (AC102),北村化学/サンリード,100,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います,
45877,45881,,EX002561-07,Mecha tray,北村化学/サンリード,100,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,40,1,本社1階,,若干離型剤？付着有り（非体裁面のため見逃し）,寸法は測れない（大きいので）,
45877,45884,,EX002545-11,FC Carrier Upper Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います,
45877,45884,,EX002546-11,FC Carrier Lower Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います,
45877,45884,,EX002547-11,FC Upper Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います,
45877,45884,,EX002548-12,FC Lower Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います,
